record_id,source,group,test_standard,LL,PL,PI,fines_pct,sand_pct,energy_kJm3,Gs,MDD_Mgm3,OMC_frac
ltpp-83-3802-c1-L1-t2,ltpp-sdr39,LTPP-83,SP,69.0,33.0,36.0,90.6,7.400000000000006,592.5,2.68,1.393606281,0.22
ltpp-83-6452-c2-L1-t1,ltpp-sdr39,LTPP-83,SP,71.0,27.0,44.0,87.0,8.0,592.5,2.68,1.617864763,0.2
ltpp-83-6452-c2-L1-t2,ltpp-sdr39,LTPP-83,SP,71.0,27.0,44.0,87.0,8.0,592.5,2.68,1.585827837,0.2
ltpp-83-6454-c2-L1-t1,ltpp-sdr39,LTPP-83,SP,24.0,19.0,5.0,45.8,54.2,592.5,2.68,1.826104782,0.12
ltpp-83-6454-c2-L1-t2,ltpp-sdr39,LTPP-83,SP,24.0,19.0,5.0,45.8,54.2,592.5,2.68,1.842123245,0.11
ltpp-84-1684-c1-L3-t2,ltpp-sdr39,LTPP-84,SP,25.0,19.0,6.0,14.9,43.1,592.5,2.815,2.24258482,0.08
ltpp-84-6804-c1-L1-t1,ltpp-sdr39,LTPP-84,SP,23.0,14.0,9.0,38.9,38.1,592.5,2.735,2.08240019,0.09
ltpp-84-6804-c1-L1-t2,ltpp-sdr39,LTPP-84,SP,23.0,14.0,9.0,38.9,38.1,592.5,2.735,2.146474042,0.06
ltpp-87-1620-c1-L1-t1,ltpp-sdr39,LTPP-87,SP,,,0.0,70.4,25.599999999999994,592.5,2.697,1.954252486,0.12
ltpp-87-1620-c1-L1-t2,ltpp-sdr39,LTPP-87,SP,,,0.0,70.4,25.599999999999994,592.5,2.697,1.794067856,0.17
ltpp-87-2811-c1-L1-t1,ltpp-sdr39,LTPP-87,SP,28.0,19.0,9.0,83.2,13.799999999999995,592.5,2.721,1.874160171,0.14
ltpp-87-2811-c1-L1-t2,ltpp-sdr39,LTPP-87,SP,28.0,19.0,9.0,83.2,13.799999999999995,592.5,2.721,1.906197097,0.13
ltpp-87-2812-c1-L1-t1,ltpp-sdr39,LTPP-87,SP,25.0,11.0,14.0,75.6,21.40000000000001,592.5,2.658,1.874160171,0.15
ltpp-87-2812-c1-L1-t2,ltpp-sdr39,LTPP-87,SP,25.0,11.0,14.0,75.6,21.40000000000001,592.5,2.658,1.778049393,0.16
ltpp-87-BA01-c2-L1-t1,ltpp-sdr39,LTPP-87,SP,14.0,10.0,4.0,48.2,47.8,592.5,2.68,2.0920112678,0.08
ltpp-88-1647-c1-L1-t1,ltpp-sdr39,LTPP-88,SP,23.0,19.0,4.0,47.7,40.3,592.5,2.74,1.858141708,0.12
ltpp-88-1647-c1-L1-t2,ltpp-sdr39,LTPP-88,SP,23.0,19.0,4.0,47.7,40.3,592.5,2.74,1.858141708,0.14
ltpp-89-1125-c1-L3-t1,ltpp-sdr39,LTPP-89,SP,17.0,14.0,3.0,15.7,39.3,592.5,2.673,2.274621746,0.05
