curve_id,source_doi,source_title,n_points,fit_rmse,w_opt,S_opt,k_d,k_w,k_d_spread,k_w_spread,k_d_at_bound,k_w_at_bound,k_d_identified,k_w_identified,MDD_Mgm3,OMC_frac,venue,venue_class
curve_0074,10.28991/cej-2021-03091635,Unconfined Compressive Strength Characteristics of Overboulder Asbuton and Zeolite Stabili,25,0.0096,0.19953,0.7548,1.3616,0.3453,0.0225,0.0585,False,False,True,True,1.5687,0.19953,Civil Engineering Journal,journal
curve_0075,,The Characterisation of the Strength Development of A Cement-Stabilised Soft Soil Treated ,5,0.0008,0.22401,0.8744,1.2537,0.4707,0.028,0.0351,False,False,True,True,1.589,0.22401,Liverpool John Moores University,journal
curve_0076,,The Characterisation of the Strength Development of A Cement-Stabilised Soft Soil Treated ,5,0.0012,0.21606,0.8668,1.3495,0.4064,0.0,0.0,False,False,True,True,1.6067,0.21606,Liverpool John Moores University,journal
curve_0077,,The Characterisation of the Strength Development of A Cement-Stabilised Soft Soil Treated ,5,0.0001,0.21844,0.8793,1.2873,0.3756,0.0,0.0,False,False,True,True,1.6089,0.21844,Liverpool John Moores University,journal
curve_0078,,The Characterisation of the Strength Development of A Cement-Stabilised Soft Soil Treated ,5,0.0016,0.21168,0.859,1.2782,0.4227,0.0,0.0,False,False,True,True,1.6141,0.21168,Liverpool John Moores University,journal
curve_0079,,The Characterisation of the Strength Development of A Cement-Stabilised Soft Soil Treated ,5,0.0002,0.21497,0.8752,1.2496,0.4217,0.0,0.0,False,False,True,True,1.6162,0.21497,Liverpool John Moores University,journal
curve_0080,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.0035,0.12445,0.8217,1.5242,0.8882,0.0235,0.1047,False,False,True,True,1.9063,0.12445,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0081,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.003,0.14569,0.8688,1.4077,0.7466,0.024,0.043,False,False,True,True,1.849,0.14569,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0082,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.0068,0.15366,0.8723,1.3858,0.8579,0.0679,0.1348,False,False,True,True,1.8205,0.15366,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0083,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.0028,0.16722,0.8973,1.3329,0.8259,0.0525,0.0958,False,False,True,True,1.7874,0.16722,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0084,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.0065,0.18196,0.9284,1.383,0.282,0.0643,0.1125,False,False,True,True,1.7571,0.18196,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0085,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.003,0.18414,0.9002,1.4522,0.6038,0.0537,0.0756,False,False,True,True,1.731,0.18414,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0086,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.003,0.18143,0.8563,1.5366,0.8935,0.0411,0.0623,False,False,True,True,1.7094,0.18143,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0087,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.003,0.22148,0.8419,1.4833,0.8199,0.0431,0.0657,False,False,True,True,1.5718,0.22148,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0088,10.29137/umagd.379757,Prediction of Compaction Behaviour of Soils at Different Energy Levels,25,0.003,0.27664,0.8599,1.2854,0.2922,0.0362,0.0473,False,False,True,True,1.4391,0.27664,Uluslararası mühendislik araştırma ve geliştirme dergisi,journal
curve_0089,10.21203/rs.3.rs-6553459/v1,Geotechnical Performance and Prediction of Fly Ash–Waste Paper Sludge Stabilized Soils via,7,0.0011,0.15809,0.6522,2.0182,0.7671,0.0,0.0,False,False,True,True,1.6246,0.15809,Research Square,preprint
curve_0090,10.21203/rs.3.rs-6553459/v1,Geotechnical Performance and Prediction of Fly Ash–Waste Paper Sludge Stabilized Soils via,7,0.0044,0.17822,0.7057,1.9431,0.7253,0.0,0.0,False,False,True,True,1.5982,0.17822,Research Square,preprint
curve_0091,10.21203/rs.3.rs-6553459/v1,Geotechnical Performance and Prediction of Fly Ash–Waste Paper Sludge Stabilized Soils via,7,0.0053,0.20352,0.7691,1.733,0.6323,0.0,0.0,False,False,True,True,1.568,0.20352,Research Square,preprint
curve_0092,10.21203/rs.3.rs-6553459/v1,Geotechnical Performance and Prediction of Fly Ash–Waste Paper Sludge Stabilized Soils via,7,0.0039,0.22302,0.8211,1.6408,0.5891,0.0,0.0,False,False,True,True,1.551,0.22302,Research Square,preprint
curve_0093,10.21203/rs.3.rs-6553459/v1,Geotechnical Performance and Prediction of Fly Ash–Waste Paper Sludge Stabilized Soils via,7,0.004,0.24107,0.8554,1.4949,0.5249,0.0,0.0,False,False,True,True,1.5268,0.24107,Research Square,preprint
curve_0094,10.21203/rs.3.rs-6553459/v1,Geotechnical Performance and Prediction of Fly Ash–Waste Paper Sludge Stabilized Soils via,7,0.0036,0.25564,0.8639,1.4369,0.5929,0.0,0.0,False,False,True,True,1.4947,0.25564,Research Square,preprint
curve_0095,10.21203/rs.3.rs-6553459/v1,Geotechnical Performance and Prediction of Fly Ash–Waste Paper Sludge Stabilized Soils via,7,0.0064,0.27782,0.7939,1.718,0.5991,0.0,0.0,False,False,True,True,1.383,0.27782,Research Square,preprint
curve_0096,10.36108/laujoces/3202.01.0260,Geotechnical Stabilization Potential of Cement Admixed with Rice Husk Ash on the Crude Oil,5,0.0188,0.12191,0.9643,1.5777,0.0,0.0,0.0,False,True,True,False,2.0018,0.12191,LAUTECH Journal of Civil and Environmental Studies,journal
