record_id,source,reference_or_doi,test_standard,energy_kJm3,gravel_pct,sand_pct,silt_pct,clay_pct,fines_pct,D10,D30,D50,D60,Cu,Cc,LL,PL,PI,uscs,Gs,Gs_imputed,MDD_Mgm3,OMC_frac,S_opt
gun_28,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,0.48,24.52,,,75.0,,,,,,,44.35,26.48,17.87,,2.68,True,1.54841997961264,0.2185,0.8012900151340443
gun_280,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,0.0,5.0,,,95.0,,,,,,,51.0,20.0,31.0,,2.68,True,1.529051987767584,0.23,0.8188968009352747
gun_281,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,5.0,18.0,,,77.0,,,,,,,53.0,28.0,25.0,,2.68,True,1.4678899082568806,0.27,0.8762942779291553
gun_282,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,1.0,15.0,,,84.0,,,,,,,62.0,35.0,27.0,,2.68,True,1.4475025484199795,0.25,0.7868792801138053
gun_283,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,2.0,31.0,,,67.0,,,,,,,52.0,31.0,21.0,,2.68,True,1.6411824668705404,0.22,0.931483298661538
gun_284,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,4.0,34.0,,,62.0,,,,,,,51.0,21.0,30.0,,2.68,True,1.6513761467889907,0.19,0.8174812700677843
gun_285,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,2.0,22.0,,,76.0,,,,,,,59.0,23.0,36.0,,2.68,True,1.549439347604485,0.24,0.8815089984491647
gun_286,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,4.0,31.0,,,65.0,,,,,,,54.0,26.0,28.0,,2.68,True,1.549439347604485,0.22,0.8080499152450676
gun_287,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,0.0,23.0,,,77.0,,,,,,,67.0,28.0,39.0,,2.68,True,1.5188583078491336,0.25,0.8764090318502652
gun_288,figshare:10.6084/m9.figshare.28681187,Soycan (2008),SP,592.5,1.0,15.0,,,84.0,,,,,,,74.0,28.0,46.0,,2.68,True,1.5392456676860344,0.26,0.9402080280230186
gun_289,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.0,22.0,,,58.0,,,,,,,48.0,20.7,27.3,,2.68,True,1.8787971457696229,0.1383,0.8691492867502987
gun_290,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,44.8,30.4,,,24.8,,,,,,,44.5,18.0,26.5,,2.68,True,2.096941896024465,0.0888,0.8558986090422743
gun_291,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,44.9,39.6,,,15.5,,,,,,,37.9,16.6,21.3,,2.68,True,2.157186544342508,0.0837,0.9255527983153952
gun_292,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.099999999999994,40.7,,,44.2,,,,,,,44.9,20.9,24.0,,2.68,True,1.9360856269113147,0.1222,0.852329678533256
gun_293,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,25.099999999999994,35.60000000000001,,,39.3,,,,,,,45.4,20.1,25.3,,2.68,True,1.870948012232416,0.13,0.80568158451769
gun_294,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.099999999999994,48.400000000000006,,,31.5,,,,,,,40.1,18.7,21.4,,2.68,True,2.1759429153924565,0.0728,0.8422362853907128
gun_295,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,14.900000000000006,14.899999999999991,,,70.2,,,,,,,51.2,21.4,29.800000000000004,,2.68,True,1.786136595310907,0.1808,0.9682259793814428
gun_296,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.599999999999994,29.10000000000001,,,60.3,,,,,,,43.0,18.9,24.1,,2.68,True,1.821202854230377,0.156,0.8865987655493301
gun_297,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,0.2000000000000028,20.0,,,79.8,,,,,,,50.6,22.2,28.4,,2.68,True,1.6724770642201834,0.1964999999999999,0.8741834456383164
gun_298,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.299999999999997,44.6,,,50.1,,,,,,,44.3,21.6,22.7,,2.68,True,1.874006116207951,0.1387,0.8642721384125057
gun_299,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.40000000000001,59.89999999999999,,,19.7,,,,,,,36.1,17.3,18.8,,2.68,True,2.0920489296636084,0.1003,0.956459047123686
gun_3,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,3.36,24.14,,,72.5,,,,,,,51.6,23.57,28.03,,2.68,True,1.5555555555555554,0.215,0.7971146245059286
gun_30,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,0.18,32.82,,,67.0,,,,,,,37.2,16.93,20.270000000000003,,2.68,True,1.769622833843017,0.165,0.8595637568862808
gun_300,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.599999999999994,69.7,,,14.7,,,,,,,32.9,16.6,16.299999999999997,,2.68,True,2.0573904179408764,0.0917,0.8120916447820814
gun_301,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,0.7000000000000028,91.8,,,7.5,,,,,,,26.4,,25.4,,2.68,True,1.94841997961264,0.1052,0.7508812707613416
gun_302,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.5,49.6,,,29.9,,,,,,,40.1,18.7,21.4,,2.68,True,2.0108053007135576,0.0998,0.8036794516207649
gun_303,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.5,64.7,,,24.8,,,,,,,35.6,18.0,17.6,,2.68,True,2.0108053007135576,0.1003999999999999,0.8085111918108688
gun_304,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,30.200000000000003,49.2,,,20.6,,,,,,,38.2,15.4,22.800000000000004,,2.68,True,2.0091743119266057,0.1074,0.8620788840262583
gun_305,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.099999999999994,31.40000000000001,,,53.5,,,,,,,51.0,20.7,30.3,,2.68,True,1.895208970438328,0.1349,0.873071510365251
gun_306,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,30.099999999999994,49.3,,,20.6,,,,,,,40.0,17.9,22.1,,2.68,True,2.02579001019368,0.0966,0.8016580797157904
gun_307,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.3,58.8,,,20.9,,,,,,,36.5,19.1,17.4,,2.68,True,2.052905198776758,0.0915,0.8027708280503264
gun_308,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,30.0,40.1,,,29.9,,,,,,,45.5,16.7,28.8,,2.68,True,1.983078491335372,0.105,0.800718991340978
gun_309,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,39.8,30.6,,,29.6,,,,,,,48.0,18.3,29.7,,2.68,True,2.070234454638124,0.0906,0.8243651863987426
gun_31,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,0.15,36.85,,,63.0,,,,,,,36.55,16.71,19.84,,2.68,True,1.8073394495412844,0.15,0.8325693860386879
gun_310,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,49.7,30.3,,,20.0,,,,,,,44.5,17.3,27.2,,2.68,True,2.169520897043833,0.0767,0.8736068429250367
gun_311,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,59.6,20.7,,,19.7,,,,,,,46.3,17.2,29.1,,2.68,True,2.1011213047910293,0.0768,0.7470670366978935
gun_312,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,64.5,20.6,,,14.9,,,,,,,45.5,16.5,29.0,,2.68,True,2.146992864424057,0.0617999999999999,0.667145939412483
gun_313,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,54.7,25.4,,,19.9,,,,,,,45.0,17.2,27.8,,2.68,True,2.116921508664628,0.0703,0.7083141800934137
gun_314,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.099999999999994,40.50000000000001,,,39.4,,,,,,,44.1,20.1,24.0,,2.68,True,1.983690112130479,0.1214,0.9268826374655968
gun_315,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.200000000000005,45.2,,,39.6,,,,,,,42.9,20.2,22.7,,2.68,True,1.9519877675840973,0.1168999999999999,0.8400163135344015
gun_316,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.299999999999995,50.0,,,39.7,,,,,,,47.0,19.4,27.6,,2.68,True,1.963608562691132,0.1139,0.8366870537010167
gun_317,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.299999999999997,54.8,,,39.9,,,,,,,40.3,20.2,20.1,,2.68,True,1.9211009174311928,0.1369,0.9287619052224372
gun_318,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,0.4000000000000057,59.6,,,40.0,,,,,,,39.1,20.2,18.9,,2.68,True,1.9058103975535168,0.1304,0.8602897392953072
gun_319,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.200000000000003,49.6,,,30.2,,,,,,,40.1,18.7,21.4,,2.68,True,2.0316004077471965,0.1017,0.8539870896742543
gun_32,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,2.24,36.76,,,61.0,,,,,,,35.15,15.44,19.71,,2.68,True,1.769622833843017,0.158,0.8230974156850447
